,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical Cases,Tot case/ 1M pop,Tot death/1M pop,Total Tests,Tot test/1M pop,Population
8,USA,"33,924,707","+1,770","604,478 ",+62,"27,564,594",+664,"5,755,635","6,848","101,956","1,817","474,388,680","1,425,710"
9,India,"27,122,158","+174,662","310,416 ","+3,167","24,278,735","+230,975","2,533,007","8,944","19,483",223,"332,594,176","238,911"
10,Brazil,"16,121,136",,"450,026 ",,"14,552,024",,"1,119,086","8,318","75,364","2,104","49,013,934","229,133"
11,France,"5,605,895",,"108,658 ",,"5,222,049",,"275,188","3,496","85,713","1,661","83,136,527","1,271,146"
12,Turkey,"5,203,385","+9,375","46,621 ",+175,"5,045,508","+11,192","111,256","1,667","61,109",548,"52,817,437","620,291"
13,Russia,"5,017,795","+7,884","119,194 ",+393,"4,632,955","+8,743","265,646","2,300","34,371",816,"136,100,000","932,252"
14,UK,"4,467,310","+2,493","127,739 ",+15,"4,305,971","+2,350","33,600",121,"65,498","1,873","178,307,058","2,614,282"
15,Italy,"4,197,892","+3,224","125,501 ",+166,"3,804,246","+11,348","268,145","1,323","69,522","2,078","64,918,613","1,075,129"
16,Germany,"3,660,547",+557,"88,054 ",+15,"3,423,700","+14,900","148,793","3,477","43,566","1,048","59,197,639","704,535"
17,Spain,"3,652,879","+5,359","79,801 ",+90,"3,402,258","+7,918","170,820","1,552","78,101","1,706","49,708,830","1,062,813"
18,Argentina,"3,562,135",,"74,480 ",,"3,133,183",,"354,472","6,373","78,175","1,635","13,256,309","290,924"
19,Colombia,"3,249,433",,"85,207 ",,"3,046,147",,"118,079","6,582","63,259","1,659","16,419,432","319,648"
20,Poland,"2,867,187","+1,000","73,096 ",+151,"2,629,626","+1,947","164,465",990,"75,833","1,933","15,581,754","412,112"
21,Iran,"2,855,396","+11,873","79,056 ",+208,"2,362,428","+14,676","413,912","4,695","33,612",931,"19,185,933","225,843"
22,Mexico,"2,397,307",+703,"221,695 ",+48,"1,916,144","+2,043","259,468","4,798","18,421","1,703","6,946,817","53,379"
23,Ukraine,"2,186,463","+2,608","49,685 ",+249,"1,975,064","+17,503","161,714",177,"50,266","1,142","10,022,457","230,412"
24,Peru,"1,926,923",,"68,358 ",,"1,720,665",,"137,900","2,682","57,724","2,048","12,506,500","374,653"
25,Indonesia,"1,786,187","+5,060","49,627 ",+172,"1,642,074","+3,795","94,486",,"6,469",180,"16,230,571","58,784"
26,Czechia,"1,658,778",+695,"30,041 ",+4,"1,612,831",+64,"15,906",144,"154,639","2,801","23,250,240","2,167,497"
27,South Africa,"1,637,848",,"55,874 ",,"1,541,250",,"40,724",546,"27,308",932,"11,378,282","189,714"
28,Netherlands,"1,631,384","+2,462","17,566 ",+13,"1,443,584","+8,002","170,234",578,"95,020","1,023","13,797,380","803,630"
29,Canada,"1,364,396","+2,832","25,312 ",+47,"1,289,263","+4,782","49,821","1,236","35,869",665,"34,218,813","899,599"
30,Chile,"1,339,421","+4,160","28,585 ",+37,"1,270,769","+5,653","40,067","3,026","69,534","1,484","14,426,305","748,919"
31,Philippines,"1,188,672","+3,972","20,019 ",+36,"1,120,452","+4,659","48,201","1,704","10,720",181,"13,086,760","118,024"
32,Iraq,"1,176,980","+4,938","16,241 ",+27,"1,090,891","+4,279","69,848",461,"28,689",396,"10,206,732","248,791"
33,Romania,"1,076,154",+381,"30,040 ",+63,"1,035,115","+1,131","10,999",545,"56,277","1,571","8,908,274","465,852"
34,Sweden,"1,058,341",,"14,366 ",,"935,698","+1,758","108,277",227,"104,213","1,415","9,762,557","961,300"
35,Belgium,"1,049,822",+941,"24,853 ",+11,"947,199","+7,496","77,770",542,"90,232","2,136","13,657,044","1,173,815"
36,Pakistan,"905,852","+2,253","20,400 ",+92,"823,157","+2,783","62,295","4,723","4,031",91,"12,884,544","57,338"
37,Portugal,"845,840",+375,"17,021 ",+3,"806,648",+669,"22,171",52,"83,170","1,674","11,451,197","1,125,972"
38,Israel,"839,382",+21,"6,406 ",,"832,517",+76,459,55,"90,005",687,"14,587,504","1,564,176"
39,Hungary,"802,510",+164,"29,581 ",+21,"671,392","+1,187","101,537",159,"83,262","3,069","5,750,359","596,612"
40,Bangladesh,"790,521",,"12,401 ",,"731,531",,"46,589","1,129","4,758",75,"5,838,295","35,138"
41,Jordan,"732,356",+920,"9,395 ",+11,"712,458",+844,"10,503",637,"71,147",913,"7,162,353","695,806"
42,Japan,"721,912","+2,715","12,398 ",+86,"645,157","+5,270","64,357","1,294","5,724",98,"13,875,603","110,011"
43,Serbia,"710,729",+414,"6,801 ",+13,"690,453","+1,355","13,475",58,"81,638",781,"4,097,597","470,674"
44,Switzerland,"690,123","+2,770","10,786 ",+7,"635,778","+1,093","43,559",152,"79,222","1,238","7,549,270","866,616"
45,Austria,"642,138",+398,"10,551 ",+4,"624,549",+881,"7,038",218,"70,936","1,166","39,471,518","4,360,358"
46,UAE,"559,291","+1,672","1,658 ",+4,"539,161","+1,630","18,472",,"55,945",166,"49,009,805","4,902,417"
47,Lebanon,"538,991",+323,"7,690 ",+6,"513,249","+1,318","18,052",231,"79,286","1,131","4,329,075","636,813"
48,Nepal,"528,848","+8,387","6,700 ",+169,"404,887","+6,404","117,261",,"17,864",226,"2,958,620","99,941"
49,Malaysia,"525,889","+7,289","2,369 ",+60,"460,062","+3,789","63,458",726,"16,065",72,"11,398,905","348,206"
50,Morocco,"517,423",+310,"9,129 ",+3,"505,668",+276,"2,626",93,"13,872",245,"6,460,591","173,201"
51,Saudi Arabia,"443,460","+1,389","7,278 ",+14,"426,589",+912,"9,593","1,348","12,564",206,"18,695,690","529,664"
52,Ecuador,"419,198",,"20,210 ",,"366,425",,"32,563",579,"23,443","1,130","1,398,548","78,210"
53,Bulgaria,"416,727",,"17,513 ",,"373,703",,"25,511",406,"60,382","2,538","2,754,463","399,111"
54,Greece,"393,583","+2,402","11,872 ",+50,"359,890","+2,108","21,821",556,"37,927","1,144","9,278,919","894,147"
55,Slovakia,"388,986",+132,"12,301 ",+5,"373,840",+346,"2,845",117,"71,217","2,252","2,805,853","513,703"
56,Belarus,"387,818",+840,"2,791 ",+11,"377,869",+764,"7,158",,"41,054",295,"6,230,051","659,506"
57,Kazakhstan,"376,572","+1,558","3,828 ",+23,"340,978","+2,248","31,766",221,"19,843",202,"11,270,949","593,921"
58,Panama,"374,356",,"6,346 ",,"362,177",,"5,833",105,"85,561","1,450","2,589,074","591,745"
59,Croatia,"354,383",+323,"7,950 ",+21,"343,414",+546,"3,019",109,"86,804","1,947","1,981,396","485,332"
60,Bolivia,"352,170","+2,517","14,024 ",+59,"283,673","+1,663","54,473",200,"29,807","1,187","1,395,226","118,089"
61,Georgia,"339,315","+1,354","4,654 ",+15,"320,777",+821,"13,884",,"85,206","1,169","4,791,817","1,203,277"
62,Tunisia,"336,414",,"12,273 ",,"297,123",,"27,018",417,"28,201","1,029","1,436,240","120,398"
63,Paraguay,"335,691",,"8,474 ",,"277,128",,"50,089",566,"46,554","1,175","1,244,572","172,600"
64,Azerbaijan,"332,894",+284,"4,877 ",+10,"321,677",+545,"6,340",,"32,570",477,"3,468,615","339,367"
65,Palestine,"305,777",,"3,470 ",,"298,502",,"3,805",46,"58,726",666,"1,804,900","346,638"
66,Costa Rica,"304,529",,"3,849 ",,"230,635",,"70,045",534,"59,297",749,"1,177,571","229,292"
67,Kuwait,"300,455",,"1,741 ",,"286,199",,"12,515",145,"69,439",402,"2,535,029","585,877"
68,Dominican Republic,"285,211",+644,"3,610 ",,"237,553",+782,"44,048",357,"26,058",330,"1,520,322","138,905"
69,Denmark,"275,207",+794,"2,510 ",+1,"259,313","+1,129","13,384",20,"47,364",432,"52,077,271","8,962,682"
70,Lithuania,"271,682",+537,"4,209 ",+6,"249,640","+1,821","17,833",150,"101,067","1,566","3,253,207","1,210,203"
71,Ethiopia,"269,500",,"4,084 ",,"230,784",,"34,632",485,"2,294",35,"2,691,240","22,905"
72,Uruguay,"267,888",,"3,922 ",,"230,641",,"33,325",504,"76,880","1,126","2,124,792","609,783"
73,Ireland,"259,415",+365,"4,941 ",,"241,692",+429,"12,782",41,"52,018",991,"4,729,538","948,367"
74,Egypt,"254,984",,"14,766 ",,"187,446",,"52,772",90,"2,451",142,"2,715,258","26,095"
75,Moldova,"254,814",+73,"6,084 ",+4,"246,894",+128,"1,836",104,"63,299","1,511","1,082,818","268,986"
76,Slovenia,"252,098",+326,"4,358 ",+3,"242,366",+487,"5,374",92,"121,248","2,096","1,260,059","606,032"
77,Guatemala,"247,644",,"8,009 ",,"228,169",,"11,466",5,"13,599",440,"1,383,617","75,978"
78,Honduras,"233,116",+444,"6,188 ",+42,"83,725",+100,"143,203",496,"23,207",616,"702,450","69,930"
79,Venezuela,"224,819",,"2,528 ",,"208,218",,"14,073",316,"7,926",89,"3,359,014","118,426"
80,Armenia,"222,139",+157,"4,400 ",+6,"211,634",+259,"6,105",,"74,840","1,482","1,065,211","358,874"
81,Bahrain,"220,847",,862 ,+14,"196,685",,"23,300",205,"125,913",491,"4,509,481","2,571,024"
82,Qatar,"216,091",+349,549 ,+2,"211,635",+339,"3,907",246,"76,961",196,"2,001,947","712,994"
83,Oman,"212,038",+817,"2,284 ",+10,"195,720",+285,"14,034",243,"40,604",437,"1,550,000","296,819"
84,Bosnia and Herzegovina,"203,513",+122,"9,168 ",+18,"173,187",+457,"21,158",,"62,379","2,810","965,308","295,879"
85,Libya,"183,932",+340,"3,114 ",+2,"170,489",+294,"10,329",,"26,447",448,"1,009,826","145,201"
86,Sri Lanka,"168,980","+1,808","1,243 ",,"141,175","+1,228","26,562",,"7,862",58,"3,277,624","152,493"
87,Kenya,"168,925",+382,"3,087 ",+14,"115,813","+1,134","50,025",121,"3,081",56,"1,787,093","32,596"
88,Nigeria,"166,061",,"2,067 ",,"156,492",,"7,502",11,788,10,"2,093,243","9,936"
89,North Macedonia,"155,071",+14,"5,342 ",+13,"147,043",+103,"2,686",25,"74,435","2,564","779,581","374,205"
90,Myanmar,"143,262",,"3,216 ",,"132,218",,"7,828",,"2,617",59,"2,611,626","47,713"
91,S. Korea,"136,983",+516,"1,938 ",+4,"126,993",+566,"8,052",160,"2,670",38,"9,592,727","186,961"
92,Cuba,"135,499","+1,291",901 ,+11,"127,614","+1,155","6,984",138,"11,969",80,"4,193,872","370,470"
93,Thailand,"135,439","+3,226",832 ,+26,"89,194","+3,094","45,413","1,169","1,936",12,"8,124,896","116,142"
94,Albania,"132,229",+14,"2,447 ",+2,"128,907",+81,875,18,"45,993",851,"704,332","244,987"
95,Latvia,"131,514",+435,"2,342 ",+14,"122,088",,"7,084",81,"70,424","1,254","2,599,046","1,391,749"
96,Estonia,"128,829",+160,"1,241 ",,"121,580",+466,"6,008",25,"97,058",935,"1,400,133","1,054,846"
97,Algeria,"127,361",+254,"3,433 ",+7,"88,672",+175,"35,256",20,"2,858",77,"230,861","5,181"
98,Norway,"122,917",+265,782 ,,"88,952",,"33,183",17,"22,516",143,"5,635,246","1,032,261"
99,Kyrgyzstan,"103,000",+298,"1,765 ",+8,"96,433",+314,"4,802",86,"15,559",267,"1,099,787","166,127"
100,Montenegro,"99,358",+67,"1,577 ",+3,"96,750",+84,"1,031",60,"158,179","2,511","406,010","646,372"
101,Uzbekistan,"98,849",+192,682 ,+2,"94,385",+242,"3,782",23,"2,916",20,"1,377,915","40,644"
102,Ghana,"93,711",+27,783 ,,"91,707",+105,"1,221",6,"2,961",25,"1,152,871","36,425"
103,Zambia,"93,428",+149,"1,271 ",,"91,221",+21,936,52,"4,959",67,"1,520,156","80,683"
104,Finland,"91,744",+125,942 ,+3,"46,000",,"44,802",18,"16,535",170,"4,916,743","886,151"
105,Cameroon,"77,733",,"1,239 ",,"72,226",,"4,268",385,"2,865",46,"1,518,411","55,961"
106,El Salvador,"72,821",+147,"2,224 ",+4,"68,018",+131,"2,579",27,"11,177",341,"978,592","150,195"
107,Cyprus,"72,011",,356 ,,"66,557",,"5,098",43,"59,258",293,"6,337,093","5,214,787"
108,Mozambique,"70,636",+30,833 ,+2,"69,117",+17,686,21,"2,205",26,"547,044","17,078"
109,Luxembourg,"69,616",,812 ,+1,"67,501",+339,"1,303",17,"109,622","1,279","2,851,146","4,489,598"
110,Afghanistan,"67,743",+840,"2,855 ",+19,"56,518",+223,"8,370","1,124","1,706",72,"452,592","11,398"
111,Singapore,"61,890",+30,32 ,,"61,329",+13,529,2,"10,505",5,"11,064,019","1,877,974"
112,Maldives,"57,341",,139 ,,"33,136",,"24,066",90,"104,441",253,"837,492","1,525,411"
113,Mongolia,"53,734",+634,255 ,+2,"47,356",+608,"6,123",99,"16,159",77,"2,895,638","870,776"
114,Namibia,"53,432",+225,779 ,+5,"49,550",+190,"3,103",51,"20,695",302,"424,020","164,228"
115,Botswana,"52,865",,809 ,,"49,641",,"2,415",1,"22,083",338,"1,130,899","472,409"
116,Jamaica,"48,081",+27,931 ,+6,"24,226",+121,"22,924",15,"16,174",313,"369,226","124,204"
117,Ivory Coast,"47,033",,298 ,,"46,442",,293,,"1,745",11,"619,741","22,988"
118,Uganda,"44,074",+155,358 ,+1,"43,401",,315,24,937,8,"1,084,760","23,069"
119,Senegal,"41,158",+16,"1,134 ",+2,"39,834",+35,190,8,"2,402",66,"509,732","29,746"
120,Madagascar,"40,999",+45,810 ,+4,"39,523",+113,666,214,"1,448",29,"200,205","7,068"
121,Zimbabwe,"38,696",,"1,586 ",,"36,471",,639,1,"2,570",105,"462,085","30,691"
122,Sudan,"35,289",+46,"2,600 ",,"27,949",,"4,740",,788,58,"232,965","5,205"
123,Malawi,"34,293",,"1,154 ",,"32,517",,622,9,"1,752",59,"243,538","12,445"
124,Angola,"32,623",,731 ,,"27,087",,"4,805",11,966,22,"553,070","16,376"
125,DRC,"31,172",+120,780 ,+1,"27,624",+10,"2,768",,339,8,"158,451","1,723"
126,Malta,"30,509",+3,418 ,+1,"30,022",+5,69,,"68,932",944,"914,069","2,065,245"
127,Australia,"30,029",+10,910 ,,"29,000",,119,1,"1,166",35,"17,905,982","694,999"
128,Cabo Verde,"29,411",,258 ,,"27,189",,"1,964",23,"52,391",460,"160,181","285,335"
129,Rwanda,"26,730",,349 ,,"25,144",,"1,237",3,"2,019",26,"1,410,046","106,518"
130,Cambodia,"26,329",+568,183 ,+4,"19,022",+663,"7,124",,"1,556",11,"1,118,978","66,112"
131,Réunion,"24,901","+1,335",189 ,+13,"22,796","+1,087","1,916",35,"27,636",210,"102,720","114,004"
132,Syria,"24,187",,"1,740 ",,"21,560",,887,,"1,353",97,"103,566","5,793"
133,Gabon,"24,107",,147 ,,"20,976",,"2,984",23,"10,608",65,"785,631","345,722"
134,French Guiana,"23,101",,113 ,,"9,995",,"12,993",28,"75,602",370,"249,076","815,146"
135,Guinea,"23,060",+8,160 ,+1,"20,761",+21,"2,139",24,"1,715",12,"448,736","33,365"
136,Trinidad and Tobago,"20,267",,390 ,,"11,727",,"8,150",22,"14,440",278,"166,282","118,473"
137,Mayotte,"20,176",,171 ,,"2,964",,"17,041",6,"72,402",614,"176,919","634,876"
138,Mauritania,"19,195",,460 ,,"18,302",,433,14,"4,034",97,"259,230","54,480"
139,French Polynesia,"18,844",,141 ,,"18,677",,26,1,"66,737",499,"26,355","93,338"
140,Eswatini,"18,557",,672 ,,"17,845",,40,3,"15,849",574,"205,275","175,315"
141,Guadeloupe,"16,530",,221 ,,"2,250",,"14,059",29,"41,306",552,"201,479","503,465"
142,Guyana,"16,235",+105,361 ,+2,"14,006",+261,"1,868",19,"20,552",457,"146,412","185,344"
143,Papua New Guinea,"15,222",+35,156 ,,"14,183",+75,883,,"1,673",17,"111,917","12,301"
144,Somalia,"14,632",,767 ,,"6,685",,"7,180",,898,47,"127,435","7,824"
145,Mali,"14,244",,514 ,,"9,486",,"4,244",,686,25,"290,650","13,995"
146,Haiti,"14,037",+131,292 ,+4,"12,509",+2,"1,236",,"1,218",25,"68,900","5,977"
147,Andorra,"13,664",+95,127 ,,"13,263",+29,274,12,"176,592","1,641","193,595","2,502,003"
148,Burkina Faso,"13,415",,165 ,,"13,230",,20,,627,8,"186,093","8,691"
149,Togo,"13,381",+7,125 ,,"12,330",+52,926,,"1,583",15,"329,306","38,965"
150,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,368",9,,
151,Suriname,"13,302",,256 ,,"10,909",,"2,137",35,"22,495",433,"59,278","100,246"
152,Belize,"12,764",,323 ,,"12,358",,83,1,"31,590",799,"128,613","318,303"
153,Curaçao,"12,271",,122 ,,"12,087",,62,18,"74,508",741,"107,257","651,254"
154,Martinique,"11,866",,93 ,,98,,"11,675",10,"31,642",248,"174,717","465,907"
155,Hong Kong,"11,836",+2,210 ,,"11,560",+4,66,1,"1,567",28,"14,841,321","1,965,389"
156,Congo,"11,658",+182,153 ,+3,"8,208",,"3,297",,"2,067",27,"141,948","25,173"
157,Djibouti,"11,502",,153 ,,"11,341",,8,,"11,493",153,"156,739","156,611"
158,Bahamas,"11,499",,225 ,,"10,272",,"1,002",8,"28,994",567,"94,984","239,495"
159,Aruba,"10,922",,107 ,,"10,746",,69,14,"101,911",998,"162,128","1,512,783"
160,Lesotho,"10,822",,326 ,,"6,431",,"4,065",,"5,016",151,"92,169","42,722"
161,Seychelles,"10,740",,38 ,,"9,523",,"1,179",,"108,604",384,"21,504","217,452"
162,South Sudan,"10,677",+1,115 ,,"10,514",,48,,944,10,"163,474","14,453"
163,Equatorial Guinea,"8,476",,113 ,,"7,948",,415,7,"5,870",78,"123,169","85,307"
164,Benin,"8,025",,101 ,,"7,893",,31,35,647,8,"604,310","48,714"
165,Nicaragua,"7,193",,185 ,,"4,225",,"2,783",,"1,074",28,,
166,CAR,"7,079",,97 ,,"6,665",,317,2,"1,443",20,"54,319","11,075"
167,Yemen,"6,662",,"1,310 ",,"3,260",,"2,092",23,219,43,"58,948","1,938"
168,Iceland,"6,560",+4,29 ,,"6,490",+12,41,1,"19,113",84,"649,673","1,892,860"
169,Gambia,"5,978",,178 ,,"5,754",,46,3,"2,413",72,"76,379","30,836"
170,Timor-Leste,"5,816",,13 ,,"3,202",,"2,601",,"4,338",10,"92,122","68,706"
171,Vietnam,"5,773",+369,44 ,,"2,794",,"2,935",,59,0.4,"3,091,540","31,507"
172,Taiwan,"5,456",+283,35 ,+6,"1,133",,"4,288",,229,1,"610,865","25,607"
173,Niger,"5,385",+2,192 ,,"5,036",+2,157,2,216,8,"105,124","4,208"
174,San Marino,"5,089",,90 ,,"4,995",,4,4,"149,698","2,647","65,149","1,916,429"
175,Saint Lucia,"4,945",,77 ,,"4,626",,242,1,"26,820",418,"44,255","240,023"
176,Chad,"4,924",,173 ,,"4,735",,16,,292,10,"118,532","7,037"
177,Burundi,"4,546",,6 ,,773,,"3,767",,372,0.5,"279,132","22,870"
178,Gibraltar,"4,290",+3,94 ,,"4,192",,4,,"127,368","2,791","250,408","7,434,475"
179,Sierra Leone,"4,121",,79 ,,"3,113",,929,,507,10,"153,257","18,871"
180,Channel Islands,"4,065",,86 ,,"3,956",,23,,"23,189",491,"454,413","2,592,276"
181,Barbados,"3,995",,47 ,,"3,922",,26,,"13,886",163,"166,237","577,834"
182,Eritrea,"3,932",,14 ,,"3,711",,207,,"1,095",4,"23,693","6,599"
183,Comoros,"3,875",+3,146 ,,"3,713",,16,,"4,373",165,,
184,Guinea-Bissau,"3,751",,68 ,,"3,495",,188,9,"1,867",34,"66,687","33,188"
185,Liechtenstein,"3,002",+2,58 ,,"2,921",+11,23,4,"78,533","1,517","45,301","1,185,083"
186,New Zealand,"2,669",+1,26 ,,"2,621",+6,22,,534,5,"2,111,902","422,203"
187,Monaco,"2,501",,32 ,,"2,460",,9,2,"63,331",810,"51,953","1,315,566"
188,Bermuda,"2,490",,32 ,,"2,401",,57,7,"40,115",516,"264,945","4,268,350"
189,Turks and Caicos,"2,409",,17 ,,"2,379",,13,2,"61,479",434,"78,787","2,010,693"
190,Sint Maarten,"2,370",,28 ,,"2,262",,80,2,"54,721",646,"28,642","661,310"
191,Sao Tome and Principe,"2,338",,37 ,,"2,284",,17,,"10,494",166,"13,418","60,229"
192,Liberia,"2,161",,86 ,,"2,028",,47,2,419,17,"104,084","20,158"
193,St. Vincent Grenadines,"1,989",,12 ,,"1,829",+2,148,2,"17,878",108,"48,290","434,048"
194,Saint Martin,"1,915",,12 ,,"1,399",,504,7,"48,785",306,"27,588","702,807"
195,Laos,"1,878",+56,2 ,,"1,180",+47,696,,255,0.3,"236,228","32,054"
196,Caribbean Netherlands,"1,609",,17 ,,"1,573",,19,,"60,852",643,"8,550","323,361"
197,Isle of Man,"1,591",,29 ,,"1,561",,1,1,"18,622",339,"44,761","523,919"
198,Bhutan,"1,423",+12,1 ,,"1,186",,236,,"1,826",1,"774,991","994,605"
199,Mauritius,"1,311",+15,17 ,,"1,171",+2,123,,"1,029",13,"358,675","281,610"
200,Antigua and Barbuda,"1,258",,42 ,,"1,200",,16,2,"12,752",426,"16,700","169,278"
201,St. Barth,"1,005",,1 ,,462,,542,,"101,474",101,"26,385","2,664,075"
202,Diamond Princess,712,,13 ,,699,,0,,,,,
203,Faeroe Islands,694,+2,1 ,,668,,25,,"14,155",20,"267,795","5,461,971"
204,Cayman Islands,574,,2 ,,554,,18,,"8,643",30,"94,773","1,427,068"
205,Tanzania,509,,21 ,,183,,305,7,8,0.3,,
206,Wallis and Futuna,445,,7 ,,438,,0,1,"40,228",633,"18,986","1,716,326"
207,Fiji,259,+21,4 ,,147,+12,108,,287,4,"92,821","102,877"
208,British Virgin Islands,248,,1 ,,209,,38,,"8,155",33,"39,777","1,307,981"
209,Brunei ,236,,3 ,,225,,8,,535,7,"124,202","281,496"
210,Dominica,184,, ,,176,,8,,"2,550",,"16,134","223,630"
211,Grenada,161,,1 ,,160,,0,,"1,425",9,"28,684","253,865"
212,New Caledonia,126,+1, ,,58,,68,,438,,"32,709","113,593"
213,Anguilla,109,, ,,107,,2,,"7,208",,"21,979","1,453,349"
214,Falkland Islands,63,, ,,63,,0,,"17,647",,"7,258","2,033,053"
215,Saint Kitts and Nevis,60,+8, ,,45,,15,,"1,121",,"14,662","273,877"
216,Macao,51,+1, ,,49,,2,,78,,"4,483","6,821"
217,Greenland,34,, ,,32,,2,,598,,"23,980","421,752"
218,Vatican City,27,, ,,27,,0,,"33,624",,,
219,Saint Pierre Miquelon,25,, ,,25,,0,,"4,334",,"5,736","994,280"
220,Montserrat,20,,1 ,,19,,0,,"4,004",200,"1,408","281,882"
221,Solomon Islands,20,, ,,20,,0,,28,,"4,500","6,412"
222,Western Sahara,10,,1 ,,8,,1,,16,2,,
223,MS Zaandam,9,,2 ,,7,,0,,,,,
224,Vanuatu,4,,1 ,,3,,0,,13,3,"23,000","73,359"
225,Marshall Islands,4,, ,,4,,0,,67,,,
226,Samoa,3,, ,,3,,0,,15,,,
227,Saint Helena,2,, ,,2,,0,,328,,,
228,Micronesia,1,, ,,1,,0,,9,,,
229,China,"91,006",+15,"4,636 ",,"86,051",+21,319,3,63,3,"160,000,000","111,163"
